Generation,ColoringCost,Iterations
1,0.005525,32627
2,0.006452,57065
3,0.007299,81488
4,0.007634,105921
5,0.007407,130363
6,0.008000,154788
7,0.009009,179207
8,0.008696,203662
9,0.009709,228112
10,0.010989,252537
11,0.012658,276940
12,0.012987,301378
13,0.015873,325780
14,0.015873,350196
15,0.015385,374661
16,0.015873,399087
17,0.020408,423523
18,0.023256,447946
19,0.025641,472380
20,0.030303,496822
21,0.032258,521247
22,0.043478,545675
23,0.043478,570108
24,0.052632,594517
25,0.058824,618944
26,0.076923,643373
27,0.090909,667800
28,0.111111,692244
29,0.142857,716654
30,0.142857,741122
31,0.142857,765501
32,0.142857,789906
33,0.142857,814347
34,0.142857,838764
35,0.142857,863197
36,0.142857,887642
37,0.142857,912055
38,0.250000,936461
