Generation,ColoringCost,Iterations
1,0.005650,32618
2,0.006623,57055
3,0.006711,81507
4,0.006711,105938
5,0.007092,130384
6,0.007752,154808
7,0.008547,179245
8,0.007752,203674
9,0.009009,228124
10,0.009174,252557
11,0.010526,276977
12,0.012658,301398
13,0.012048,325838
14,0.013333,350263
15,0.016949,374712
16,0.018182,399122
17,0.024390,423557
18,0.025641,447999
19,0.028571,472407
20,0.034483,496842
21,0.037037,521250
22,0.040000,545673
23,0.040000,570082
24,0.052632,594483
25,0.052632,618896
26,0.058824,643325
27,0.058824,667723
28,0.058824,692156
29,0.066667,716584
30,0.066667,740980
31,0.066667,765398
32,0.066667,789794
33,0.076923,814226
34,0.076923,838649
35,0.090909,863077
36,0.090909,887508
37,0.090909,911977
38,0.090909,936423
39,0.090909,960814
40,0.111111,985196
41,0.090909,1009603
42,0.090909,1033992
43,0.090909,1058432
44,0.090909,1082794
45,0.090909,1107210
46,0.142857,1131630
47,0.142857,1156027
48,0.142857,1180433
49,0.142857,1204853
50,0.250000,1229267
