Generation 1 | ColoringCost=0.005780 | Iterations=32595
Generation 2 | ColoringCost=0.006369 | Iterations=57027
Generation 3 | ColoringCost=0.006623 | Iterations=81442
Generation 4 | ColoringCost=0.006897 | Iterations=105878
Generation 5 | ColoringCost=0.007519 | Iterations=130312
Generation 6 | ColoringCost=0.007874 | Iterations=154733
Generation 7 | ColoringCost=0.008264 | Iterations=179171
Generation 8 | ColoringCost=0.009009 | Iterations=203629
Generation 9 | ColoringCost=0.009901 | Iterations=228069
Generation 10 | ColoringCost=0.011494 | Iterations=252505
Generation 11 | ColoringCost=0.011765 | Iterations=276930
Generation 12 | ColoringCost=0.012346 | Iterations=301341
Generation 13 | ColoringCost=0.014493 | Iterations=325752
Generation 14 | ColoringCost=0.014493 | Iterations=350162
Generation 15 | ColoringCost=0.017544 | Iterations=374612
Generation 16 | ColoringCost=0.018182 | Iterations=399048
Generation 17 | ColoringCost=0.021277 | Iterations=423503
Generation 18 | ColoringCost=0.024390 | Iterations=447941
Generation 19 | ColoringCost=0.030303 | Iterations=472394
Generation 20 | ColoringCost=0.032258 | Iterations=496812
Generation 21 | ColoringCost=0.040000 | Iterations=521271
Generation 22 | ColoringCost=0.040000 | Iterations=545691
Generation 23 | ColoringCost=0.047619 | Iterations=570145
Generation 24 | ColoringCost=0.047619 | Iterations=594581
Generation 25 | ColoringCost=0.058824 | Iterations=619009
Generation 26 | ColoringCost=0.076923 | Iterations=643465
Generation 27 | ColoringCost=0.076923 | Iterations=667903
Generation 28 | ColoringCost=0.076923 | Iterations=692323
Generation 29 | ColoringCost=0.076923 | Iterations=716749
Generation 30 | ColoringCost=0.076923 | Iterations=741166
Generation 31 | ColoringCost=0.076923 | Iterations=765563
Generation 32 | ColoringCost=0.090909 | Iterations=789981
Generation 33 | ColoringCost=0.090909 | Iterations=814426
Generation 34 | ColoringCost=0.090909 | Iterations=838815
Generation 35 | ColoringCost=0.111111 | Iterations=863202
Generation 36 | ColoringCost=0.111111 | Iterations=887632
Generation 37 | ColoringCost=0.111111 | Iterations=912080
Generation 38 | ColoringCost=0.142857 | Iterations=936471
Generation 39 | ColoringCost=0.142857 | Iterations=960865
Generation 40 | ColoringCost=0.142857 | Iterations=985261
Generation 41 | ColoringCost=0.142857 | Iterations=1009677
Generation 42 | ColoringCost=0.142857 | Iterations=1034115
Generation 43 | ColoringCost=0.142857 | Iterations=1058546
Generation 44 | ColoringCost=0.250000 | Iterations=1082964
彩色数4の最適個体を発見（世代 44）
Total iterations: 1082965
